 Autoroute , Societe , Departement , Sens , PR , Absc , Echangeur , Type , Nom gare , Date 1ere m.s. , Site 
A1        ,SANEF     ,Val d'oise,-,27,873,,Gare sur bretelle d'échangeur                                                                       ,SAINT WITZ (ENTREE),30-12-1964,Gare isolée
A1        ,SANEF     ,Val d'oise,+,27,873,,Gare sur bretelle d'échangeur                                                                       ,SAINT WITZ (SORTIE),30-12-1964,Gare isolée
A1        ,SANEF     ,Oise,*,42,426,SENLIS SUD,Sur échangeur (diffuseur)                                                                           ,SENLIS BONSECOURS,29-11-1965,Gare isolée
A1        ,SANEF     ,Oise,*,44,120,,Barrière pleine voie sur l'autoroute                                                                ,CHAMANT,29-11-1965,Gare principale d'un site de plusieurs gares
A1        ,SANEF     ,Oise,*,44,120,,Gare sur bretelle d'échangeur                                                                       ,SENLIS NORD(ENTREE),29-11-1965,Gare secondaire d'un site de plusieurs gares
A1        ,SANEF     ,Oise,*,44,120,,Gare sur bretelle d'échangeur                                                                       ,SENLIS NORD(SORTIE),29-11-1965,Gare secondaire d'un site de plusieurs gares
A1        ,SANEF     ,Oise,*,57,740,CHEVRIERES,Sur échangeur (diffuseur)                                                                           ,CHEVRIERES,23-01-1986,Gare isolée
A1        ,SANEF     ,Oise,*,66,470,ARSY,Sur échangeur (diffuseur)                                                                           ,ARSY,29-11-1965,Gare isolée
A1        ,SANEF     ,Oise,*,80,540,RESSONS,Sur échangeur (diffuseur)                                                                           ,RESSONS,29-11-1965,Gare isolée
A1        ,SANEF     ,Somme,*,101,300,ROYE,Sur échangeur (diffuseur)                                                                           ,ROYE,29-11-1965,Gare isolée
A1        ,SANEF     ,Somme,*,121,480,VALLEE DE LA SOMME,Sur échangeur (diffuseur)                                                                           ,VALLEE DE LA SOMME,15-12-1966,Gare isolée
A1        ,SANEF     ,Somme,*,131,880,MAUREPAS (ALBERT-PERONNE),Sur échangeur (diffuseur)                                                                           ,MAUREPAS                                ,01-01-1994,Gare isolée
A1        ,SANEF     ,Pas de Calais,*,146,870,BAPAUME,Sur échangeur (diffuseur)                                                                           ,BAPAUME,15-12-1966,Gare isolée
A1        ,SANEF     ,Pas de Calais,*,165,984,L'ARRAGEOIS,Sur échangeur (diffuseur)                                                                           ,L'ARRAGEOIS,29-11-1967,Gare isolée
A1        ,SANEF     ,Pas de Calais,*,174,60,,Barrière pleine voie sur l'autoroute                                                                ,FRESNES LES MONTAUBAN,29-11-1967,Gare isolée
A10       ,COFIROUTE ,Yvelines,*,19,573,,Gare sur bretelle d'échangeur                                                                       ,DOURDAN (ENTRéE),30-10-1972,Gare isolée
A10       ,COFIROUTE ,Yvelines,*,19,573,,Gare sur bretelle d'échangeur                                                                       ,DOURDAN (SORTIE),30-10-1972,Gare isolée
A10       ,COFIROUTE ,Yvelines,*,24,0,,Barrière pleine voie sur l'autoroute                                                                ,SAINT ARNOULT,30-10-1972,Gare isolée
A10       ,COFIROUTE ,Yvelines,*,36,69,ALLAINVILLE,Sur échangeur (diffuseur)                                                                           ,ALLAINVILLE,12-10-1973,Gare isolée
A10       ,COFIROUTE ,Eure et Loire,*,64,670,ALLAINES,Sur échangeur (diffuseur)                                                                           ,ALLAINES,12-10-1973,Gare isolée
A10       ,COFIROUTE ,Loiret,*,78,50,ARTENAY,Sur échangeur (diffuseur)                                                                           ,ARTENAY,23-12-1982,Gare isolée
A10       ,COFIROUTE ,Loiret,*,115,74,MEUNG,Sur échangeur (diffuseur)                                                                           ,MEUNG,18-07-1974,Gare isolée
A10       ,COFIROUTE ,Loire et Cher,*,131,645,MER,Sur échangeur (diffuseur)                                                                           ,MER,26-06-1992,Gare isolée
A10       ,COFIROUTE ,Loire et Cher,*,148,797,BLOIS,Sur échangeur (diffuseur)                                                                           ,BLOIS,18-07-1974,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,178,462,AMBOISE CHATEAU RENAULT,Sur échangeur (diffuseur)                                                                           ,AMBOISE - CHATEAU RENAULT,18-07-1974,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,192,425,,Barrière pleine voie sur l'autoroute                                                                ,MONNAIE,18-07-1974,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,199,775,TOURS NORD PARCAY MESLAY,Sur échangeur (diffuseur)                                                                           ,TOURS NORD (B)                          ,01-07-1974,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,199,776,TOURS NORD PARCAY MESLAY,Sur échangeur (diffuseur)                                                                           ,TOURS NORD (A)                          ,01-07-1974,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,212,592,CHAMBRAY (->RN143),Sur échangeur (diffuseur)                                                                           ,CHAMBRAY (RN143),28-10-1977,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,212,876,CHAMBRAY (->RN10),Sur échangeur (diffuseur)                                                                           ,CHAMBRAY (RN10),28-10-1977,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,214,630,LA THIBAUDIERE,Sur échangeur (diffuseur)                                                                           ,LA THIBAUDIERE,14-12-1995,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,223,360,MONTS-SORIGNY,Sur échangeur (diffuseur)                                                                           ,MONTS SORIGNY,01-10-2004,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,228,0,,Barrière pleine voie sur l'autoroute                                                                ,SORIGNY,28-10-1977,Gare isolée
A10       ,COFIROUTE ,Indre et Loire,*,241,300,SAINTE MAURE,Sur échangeur (diffuseur)                                                                           ,SAINTE MAURE,28-10-1977,Gare isolée
A10       ,COFIROUTE ,Vienne,*,272,255,CHATELLERAULT NORD,Sur échangeur (diffuseur)                                                                           ,CHATELLERAULT NORD,28-10-1977,Gare isolée
A10       ,COFIROUTE ,Vienne,*,278,933,CHATELLERAULT SUD,Sur échangeur (diffuseur)                                                                           ,CHATELLERAULT SUD,28-10-1977,Gare isolée
A10       ,COFIROUTE ,Vienne,*,295,899,FUTUROSCOPE,Sur échangeur (diffuseur)                                                                           ,FUTUROSCOPE                             ,28-04-1989,Gare isolée
A10       ,COFIROUTE ,Vienne,*,301,442,POITIERS NORD,Sur échangeur (diffuseur)                                                                           ,POITIERS NORD,30-06-1977,Gare isolée
A10       ,COFIROUTE ,Vienne,*,311,50,POITIERS SUD,Sur échangeur (diffuseur)                                                                           ,POITIERS SUD,30-06-1977,Gare isolée
A10       ,ASF       ,Sévres (Les deux Sévres),*,343,808,ST. MAIXENT L'ECOLE,Sur échangeur (diffuseur)                                                                           ,ST MAIXENT L'ECOLE-SOUDAN,23-07-1981,Gare isolée
A10       ,ASF       ,Sévres (Les deux Sévres),*,370,58,VOUILLE,Sur échangeur (diffuseur)                                                                           ,VOUILLE (LIMOGES NIORT),23-07-1981,Gare isolée
A10       ,ASF       ,Sévres (Les deux Sévres),*,379,806,NIORT SUD,Sur échangeur (diffuseur)                                                                           ,NIORT SUD,23-07-1981,Gare isolée
A10       ,ASF       ,Charente Maritime,*,412,480,SAINT JEAN D'ANGELY,Sur échangeur (diffuseur)                                                                           ,ST JEAN D'ANGELY,23-07-1981,Gare isolée
A10       ,ASF       ,Charente Maritime,*,439,89,SAINTES,Sur échangeur (diffuseur)                                                                           ,SAINTES,23-07-1981,Gare isolée
